Model,Patient_Position,Original_Row_Index,Spearman_Raw,Spearman_P_Value,Spearman_Normalised,Top_3_Overlap,Agreement_Score,SHAP_Top_Features,LIME_Top_Features,Agreement_Level
Logistic Regression,0,44,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,1,672,0.7857142857142858,0.020815127253525276,0.8928571428571429,0.6666666666666666,0.7797619047619048,"Glucose, Pregnancies, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,2,700,0.7619047619047621,0.028004939153071794,0.880952380952381,1.0,0.9404761904761905,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,3,630,0.6190476190476191,0.1017330374542646,0.8095238095238095,0.6666666666666666,0.7380952380952381,"BMI, Pregnancies, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,4,81,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"BMI, Glucose, BloodPressure","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,5,389,0.6904761904761906,0.057990318164572716,0.8452380952380953,0.3333333333333333,0.5892857142857143,"Glucose, DiabetesPedigreeFunction, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,6,387,0.8095238095238096,0.014902667686230067,0.9047619047619049,1.0,0.9523809523809524,"BMI, Pregnancies, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,7,408,0.9047619047619048,0.0020082755054294677,0.9523809523809523,0.6666666666666666,0.8095238095238095,"Glucose, DiabetesPedigreeFunction, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,8,163,0.8095238095238096,0.014902667686230067,0.9047619047619049,0.6666666666666666,0.7857142857142858,"Glucose, Age, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,9,335,0.9523809523809524,0.00026040002438725105,0.9761904761904763,1.0,0.9880952380952381,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,10,471,0.7380952380952381,0.03655276105286081,0.8690476190476191,0.6666666666666666,0.7678571428571428,"Glucose, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,11,78,0.6666666666666669,0.07098765432098751,0.8333333333333335,0.6666666666666666,0.75,"BMI, BloodPressure, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,12,307,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,13,392,0.8571428571428572,0.006530017254715292,0.9285714285714286,1.0,0.9642857142857143,"BMI, Glucose, Pregnancies","Glucose, BMI, Pregnancies",High
Logistic Regression,14,678,0.6428571428571429,0.08555889101267318,0.8214285714285714,0.3333333333333333,0.5773809523809523,"BMI, DiabetesPedigreeFunction, Age","Glucose, BMI, Pregnancies",Low
Logistic Regression,15,116,0.9047619047619048,0.0020082755054294677,0.9523809523809523,0.6666666666666666,0.8095238095238095,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,16,660,0.8571428571428572,0.006530017254715292,0.9285714285714286,0.6666666666666666,0.7976190476190477,"Glucose, Pregnancies, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,17,742,0.880952380952381,0.0038503204637324014,0.9404761904761905,1.0,0.9702380952380952,"Pregnancies, BMI, Glucose","Glucose, BMI, Pregnancies",High
Logistic Regression,18,260,0.7857142857142858,0.020815127253525276,0.8928571428571429,0.6666666666666666,0.7797619047619048,"Glucose, DiabetesPedigreeFunction, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,19,533,0.6428571428571429,0.08555889101267318,0.8214285714285714,0.6666666666666666,0.7440476190476191,"Glucose, BloodPressure, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,20,140,0.7619047619047621,0.028004939153071794,0.880952380952381,0.6666666666666666,0.7738095238095238,"BMI, Age, Glucose","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,21,13,0.3571428571428572,0.3851206435562562,0.6785714285714286,0.3333333333333333,0.5059523809523809,"Glucose, Age, Insulin","Glucose, BMI, Pregnancies",Low
Logistic Regression,22,17,0.8571428571428572,0.006530017254715292,0.9285714285714286,1.0,0.9642857142857143,"Glucose, Pregnancies, BMI","Glucose, BMI, Pregnancies",High
Logistic Regression,23,245,0.8333333333333335,0.01017554012345675,0.9166666666666667,0.6666666666666666,0.7916666666666667,"Glucose, DiabetesPedigreeFunction, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,24,517,0.6904761904761906,0.057990318164572716,0.8452380952380953,0.6666666666666666,0.7559523809523809,"BMI, Age, Pregnancies","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,25,62,0.9047619047619048,0.0020082755054294677,0.9523809523809523,0.6666666666666666,0.8095238095238095,"Glucose, BMI, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",High
Logistic Regression,26,480,0.7142857142857144,0.04652823228416724,0.8571428571428572,0.6666666666666666,0.7619047619047619,"Glucose, BMI, Insulin","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,27,629,0.5952380952380953,0.11952980613879262,0.7976190476190477,0.6666666666666666,0.7321428571428572,"Glucose, BMI, Age","Glucose, BMI, Pregnancies",Moderate
Logistic Regression,28,64,0.523809523809524,0.18272075053971482,0.761904761904762,0.3333333333333333,0.5476190476190477,"Pregnancies, Age, DiabetesPedigreeFunction","Glucose, BMI, Pregnancies",Low
Logistic Regression,29,3,0.9047619047619048,0.0020082755054294677,0.9523809523809523,1.0,0.9761904761904762,"Glucose, BMI, Pregnancies","Glucose, BMI, Pregnancies",High
